일자,상대,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
10.16,롯데,0.25,4,4,0,1,0,0,0,0,0,0,0,0,0,0
10.15,롯데,0.333,4,3,1,1,0,0,0,0,0,0,1,0,1,0
10.14,롯데,0.2,5,5,0,1,0,0,0,2,0,0,0,0,0,0
10.10,NC,0.25,4,4,0,1,1,0,0,0,0,0,0,0,2,1
10.09,NC,0.5,5,4,1,2,0,0,0,0,0,0,1,0,2,0
09.22,키움,0.4,5,5,2,2,0,0,1,2,0,0,0,0,0,1
09.21,KIA,0.333,5,3,1,1,0,0,0,1,0,0,2,0,1,0
09.19,SSG,0.0,4,3,1,0,0,0,0,0,0,0,1,0,0,0
09.18,KT,0.333,4,3,1,1,0,0,0,0,0,0,1,0,2,0
09.17,KT,0.0,4,4,0,0,0,0,0,0,0,0,0,0,2,0
합계,합계,0.263,44,38,7,10,1,0,1,5,0,0,6,0,10,2
